    0    0    0
  188  0.088900-886.569141    0    0
  189  0.088900-886.420313    0    0
  190  0.088900-886.271484    0    0
  191  0.088900-886.122656    0    0
  192  0.088900-885.973828    0    0
  193  0.088900-885.825000    0    0
  194  0.088900-885.676172    0    0
  195  0.088900-885.527344    0    0
  196  0.088900-885.378516    0    0
  197  0.088900-885.229688    0    0
  198  0.088900-885.080859    0    0
  199  0.088900-884.932031    0    0
  200  0.088900-884.783203    0    0
  201  0.088900-884.634375    0    0
  202  0.088900-884.485547    0    0
  203  0.088900-884.336719    0    0
  204  0.088900-884.187891    0    0
  205  0.088900-884.039063    0    0
  206  0.088900-883.890234    0    0
  207  0.088900-883.741406    0    0
  208  0.088900-883.592578    0    0
  209  0.088900-883.443750    0    0
  210  0.088900-883.294922    0    0
  211  0.088900-883.146094    0    0
  212  0.088900-882.997266    0    0
  213  0.088900-882.848438    0    0
  214  0.088900-882.699609    0    0
  215  0.088900-882.550781    0    0
  216  0.088900-882.401953    0    0
  217  0.088900-882.253125    0    0
  218  0.088900-882.104297    0    0
  219  0.088900-881.955469    0    0
  220  0.088900-881.806641    0    0
  221  0.088900-881.657812    0    0
  222  0.088900-881.508984    0    0
  223  0.088900-881.360156    0    0
  224  0.088900-881.211328    0    0
  225  0.088900-881.062500    0    0
  226  0.088900-880.913672    0    0
  227  0.088900-880.764844    0    0
  228  0.088900-880.616016    0    0
  229  0.088900-880.467188    0    0
  230  0.088900-880.318359    0    0
  231  0.088900-880.169531    0    0
  232  0.088900-880.020703    0    0
  233  0.088900-879.871875    0    0
  234  0.088900-879.723047    0    0
  235  0.088900-879.574219    0    0
  236  0.088900-879.425391    0    0
  237  0.088900-879.276563    0    0
  238  0.088900-879.127734    0    0
  239  0.088900-878.978906    0    0
  240  0.088900-878.830078    0    0
  241  0.088900-878.681250    0    0
  242  0.088900-878.532422    0    0
  243  0.088900-878.383594    0    0
  244  0.088900-878.234766    0    0
  245  0.088900-878.085938    0    0
  246  0.088900-877.937109    0    0
  247  0.088900-877.788281    0    0
  248  0.088900-877.639453    0    0
  249  0.088900-877.490625    0    0
  250  0.088900-877.341797    0    0
  251  0.088900-877.192969    0    0
  252  0.088900-877.044141    0    0
  253  0.088900-876.895313    0    0
  254  0.088900-876.746484    0    0
  255  0.088900-876.597656    0    0
  256  0.088900-876.448828    0    0
  257  0.088900-876.300000    0    0
  258  0.088900-876.151172    0    0
  259  0.088900-876.002344    0    0
  260  0.088900-875.853516    0    0
  261  0.088900-875.704688    0    0
  262  0.088900-875.555859    0    0
  263  0.088900-875.407031    0    0
  264  0.088900-875.258203    0    0
  265  0.088900-875.109375    0    0
  266  0.088900-874.960547    0    0
  267  0.088900-874.811719    0    0
  268  0.088900-874.662891    0    0
  269  0.088900-874.514063    0    0
  270  0.088900-874.365234    0    0
  271  0.088900-874.216406    0    0
  272  0.088900-874.067578    0    0
  273  0.088900-873.918750    0    0
  274  0.088900-873.769922    0    0
  275  0.088900-873.621094    0    0
  276  0.088900-873.472266    0    0
  277  0.088900-873.323438    0    0
  278  0.088900-873.174609    0    0
  279  0.088900-873.025781    0    0
  280  0.088900-872.876953    0    0
  281  0.088900-872.728125    0    0
  282  0.088900-872.579297    0    0
  283  0.088900-872.430469    0    0
  284  0.088900-872.281641    0    0
  285  0.088900-872.132813    0    0
  286  0.088900-871.983984    0    0
  287  0.088900-871.835156    0    0
  288  0.088900-871.686328    0    0
  289  0.088900-871.537500    0    0
  290  0.088900-871.388672    0    0
  291  0.088900-871.239844    0    0
  292  0.088900-871.091016    0    0
  293  0.088900-870.942188    0    0
  294  0.088900-870.793359    0    0
  295  0.088900-870.644531    0    0
  296  0.088900-870.495703    0    0
  297  0.088900-870.346875    0    0
  298  0.088900-870.198047    0    0
  299  0.088900-870.049219    0    0
  300  0.088900-869.900391    0    0
  301  0.088900-869.751563    0    0
  302  0.088900-869.602734    0    0
  303  0.088900-869.453906    0    0
  304  0.088900-869.305078    0    0
  305  0.088900-869.156250    0    0
  306  0.088900-869.007422    0    0
  307  0.088900-868.858594    0    0
  308  0.088900-868.709766    0    0
  309  0.088900-868.560938    0    0
  310  0.088900-868.412109    0    0
  311  0.088900-868.263281    0    0
  312  0.088900-868.114453    0    0
  313  0.088900-867.965625    0    0
  314  0.088900-867.816797    0    0
  315  0.088900-867.667969    0    0
  316  0.088900-867.519141    0    0
  317  0.088900-867.370313    0    0
  318  0.088900-867.221484    0    0
  319  0.088900-867.072656    0    0
  320  0.088900-866.923828    0    0
  321  0.088900-866.775000    0    0
  322  0.088900-866.626172    0    0
  323  0.088900-866.477344    0    0
  324  0.088900-866.328516    0    0
  325  0.088900-866.179688    0    0
  326  0.088900-866.030859    0    0
  327  0.088900-865.882031    0    0
  328  0.088900-865.733203    0    0
  329  0.088900-865.584375    0    0
  330  0.088900-865.435547    0    0
  331  0.088900-865.286719    0    0
  332  0.088900-865.137891    0    0
  333  0.088900-864.989063    0    0
  334  0.088900-864.840234    0    0
  335  0.088900-864.691406    0    0
  336  0.088900-864.542578    0    0
  337  0.088900-864.393750    0    0
  338  0.088900-864.244922    0    0
  339  0.088900-864.096094    0    0
  340  0.088900-863.947266    0    0
  341  0.088900-863.798438    0    0
  342  0.088900-863.649609    0    0
  343  0.088900-863.500781    0    0
  344  0.088900-863.351953    0    0
  345  0.088900-863.203125    0    0
  346  0.088900-863.054297    0    0
  347  0.088900-862.905469    0    0
  348  0.088900-862.756641    0    0
  349  0.088900-862.607813    0    0
  350  0.088900-862.458984    0    0
  351  0.088900-862.310156    0    0
  352  0.088900-862.161328    0    0
  353  0.088900-862.012500    0    0
  354  0.088900-861.863672    0    0
  355  0.088900-861.714844    0    0
  356  0.088900-861.566016    0    0
  357  0.088900-861.417188    0    0
  358  0.088900-861.268359    0    0
  359  0.088900-861.119531    0    0
  360  0.088900-860.970703    0    0
  361  0.088900-860.821875    0    0
  362  0.088900-860.673047    0    0
  363  0.088900-860.524219    0    0
  364  0.088900-860.375391    0    0
  365  0.088900-860.226563    0    0
  366  0.088900-860.077734    0    0
  367  0.088900-859.928906    0    0
  368  0.088900-859.780078    0    0
  369  0.088900-859.631250    0    0
  370  0.088900-859.482422    0    0
  371  0.088900-859.333594    0    0
  372  0.088900-859.184766    0    0
  373  0.088900-859.035938    0    0
  374  0.088900-858.887109    0    0
  375  0.088900-858.738281    0    0
  376  0.088900-858.589453    0    0
  377  0.088900-858.440625    0    0
  378  0.088900-858.291797    0    0
  379  0.088900-858.142969    0    0
  380  0.088900-857.994141    0    0
  381  0.088900-857.845312    0    0
  382  0.088900-857.696484    0    0
  383  0.088900-857.547656    0    0
  384  0.088900-857.398828    0    0
  385  0.088900-857.250000    0    0
  386  0.088900-857.101172    0    0
  387  0.088900-856.952344    0    0
  388  0.088900-856.803516    0    0
  389  0.088900-856.654688    0    0
  390  0.088900-856.505859    0    0
  391  0.088900-856.357031    0    0
  392  0.088900-856.208203    0    0
  393  0.088900-856.059375    0    0
  394  0.088900-855.910547    0    0
  395  0.088900-855.761719    0    0
  396  0.088900-855.612891    0    0
  397  0.088900-855.464062    0    0
  398  0.088900-855.315234    0    0
  399  0.088900-855.166406    0    0
  400  0.088900-855.017578    0    0
  401  0.088900-854.868750    0    0
  402  0.088900-854.719922    0    0
  403  0.088900-854.571094    0    0
  404  0.088900-854.422266    0    0
  405  0.088900-854.273438    0    0
  406  0.088900-854.124609    0    0
  407  0.088900-853.975781    0    0
  408  0.088900-853.826953    0    0
  409  0.088900-853.678125    0    0
  410  0.088900-853.529297    0    0
  411  0.088900-853.380469    0    0
  412  0.088900-853.231641    0    0
  413  0.088900-853.082812    0    0
  414  0.088900-852.933984    0    0
  415  0.088900-852.785156    0    0
  416  0.088900-852.636328    0    0
  417  0.088900-852.487500    0    0
  418  0.088900-852.338672    0    0
  419  0.088900-852.189844    0    0
  420  0.088900-852.041016    0    0
  421  0.088900-851.892187    0    0
  422  0.088900-851.743359    0    0
  423  0.088900-851.594531    0    0
  424  0.088900-851.445703    0    0
  425  0.088900-851.296875    0    0
  426  0.088900-851.148047    0    0
  427  0.088900-850.999219    0    0
  428  0.088900-850.850391    0    0
  429  0.088900-850.701563    0    0
  430  0.088900-850.552734    0    0
  431  0.088900-850.403906    0    0
  432  0.088900-850.255078    0    0
  433  0.088900-850.106250    0    0
  434  0.088900-849.957422    0    0
  435  0.088900-849.808594    0    0
  436  0.088900-849.659766    0    0
  437  0.088900-849.510938    0    0
  438  0.088900-849.362109    0    0
  439  0.088900-849.213281    0    0
  440  0.088900-849.064453    0    0
  441  0.088900-848.915625    0    0
  442  0.088900-848.766797    0    0
  443  0.088900-848.617969    0    0
  444  0.088900-848.469141    0    0
  445  0.088900-848.320313    0    0
  446  0.088900-848.171484    0    0
  447  0.088900-848.022656    0    0
  448  0.088900-847.873828    0    0
  449  0.088900-847.725000    0    0
  450  0.088900-847.576172    0    0
  451  0.088900-847.427344    0    0
  452  0.088900-847.278516    0    0
  453  0.088900-847.129688    0    0
  454  0.088900-846.980859    0    0
  455  0.088900-846.832031    0    0
  456  0.088900-846.683203    0    0
  457  0.088900-846.534375    0    0
  458  0.088900-846.385547    0    0
  459  0.088900-846.236719    0    0
  460  0.088900-846.087891    0    0
  461  0.088900-845.939062    0    0
  462  0.088900-845.790234    0    0
  463  0.088900-845.641406    0    0
  464  0.088900-845.492578    0    0
  465  0.088900-845.343750    0    0
  466  0.088900-845.194922    0    0
  467  0.088900-845.046094    0    0
  468  0.088900-844.897266    0    0
  469  0.088900-844.748438    0    0
  470  0.088900-844.599609    0    0
  471  0.088900-844.450781    0    0
  472  0.088900-844.301953    0    0
  473  0.088900-844.153125    0    0
  474  0.088900-844.004297    0    0
  475  0.088900-843.855469    0    0
  476  0.088900-843.706641    0    0
  477  0.088900-843.557813    0    0
  478  0.088900-843.408984    0    0
  479  0.088900-843.260156    0    0
  480  0.088900-843.111328    0    0
  481  0.088900-842.962500    0    0
  482  0.088900-842.813672    0    0
  483  0.088900-842.664844    0    0
  484  0.088900-842.516016    0    0
  485  0.088900-842.367188    0    0
  486  0.088900-842.218359    0    0
  487  0.088900-842.069531    0    0
  488  0.088900-841.920703    0    0
  489  0.088900-841.771875    0    0
  490  0.088900-841.623047    0    0
  491  0.088900-841.474219    0    0
  492  0.088900-841.325391    0    0
  493  0.088900-841.176563    0    0
  494  0.088900-841.027734    0    0
  495  0.088900-840.878906    0    0
  496  0.088900-840.730078    0    0
  497  0.088900-840.581250    0    0
  498  0.088900-840.432422    0    0
  499  0.088900-840.283594    0    0
  500  0.088900-840.134766    0    0
  501  0.088900-839.985938    0    0
  502  0.088900-839.837109    0    0
  503  0.088900-839.688281    0    0
  504  0.088900-839.539453    0    0
  505  0.088900-839.390625    0    0
  506  0.088900-839.241797    0    0
  507  0.088900-839.092969    0    0
  508  0.088900-838.944141    0    0
  509  0.088900-838.795313    0    0
  510  0.088900-838.646484    0    0
  511  0.088900-838.497656    0    0
  512  0.088900-838.348828    0    0
  513  0.088900-838.200000    0    0
  514  0.088900-838.051172    0    0
  515  0.088900-837.902344    0    0
  516  0.088900-837.753516    0    0
  517  0.088900-837.604688    0    0
  518  0.088900-837.455859    0    0
  519  0.088900-837.307031    0    0
  520  0.088900-837.158203    0    0
  521  0.088900-837.009375    0    0
  522  0.088900-836.860547    0    0
  523  0.088900-836.711719    0    0
  524  0.088900-836.562891    0    0
  525  0.088900-836.414063    0    0
  526  0.088900-836.265234    0    0
  527  0.088900-836.116406    0    0
  528  0.088900-835.967578    0    0
  529  0.088900-835.818750    0    0
  530  0.088900-835.669922    0    0
  531  0.088900-835.521094    0    0
  532  0.088900-835.372266    0    0
  533  0.088900-835.223438    0    0
  534  0.088900-835.074609    0    0
  535  0.088900-834.925781    0    0
  536  0.088900-834.776953    0    0
  537  0.088900-834.628125    0    0
  538  0.088900-834.479297    0    0
  539  0.088900-834.330469    0    0
  540  0.088900-834.181641    0    0
  541  0.088900-834.032812    0    0
  542  0.088900-833.883984    0    0
  543  0.088900-833.735156    0    0
  544  0.088900-833.586328    0    0
  545  0.088900-833.437500    0    0
  546  0.088900-833.288672    0    0
  547  0.088900-833.139844    0    0
  548  0.088900-832.991016    0    0
  549  0.088900-832.842188    0    0
  550  0.088900-832.693359    0    0
  551  0.088900-832.544531    0    0
  552  0.088900-832.395703    0    0
  553  0.088900-832.246875    0    0
  554  0.088900-832.098047    0    0
  555  0.088900-831.949219    0    0
  556  0.088900-831.800391    0    0
  557  0.088900-831.651563    0    0
  558  0.088900-831.502734    0    0
  559  0.088900-831.353906    0    0
  560  0.088900-831.205078    0    0
  561  0.088900-831.056250    0    0
  562  0.088900-830.907422    0    0
  563  0.088900-830.758594    0    0
  564  0.088900-830.609766    0    0
  565  0.088900-830.460938    0    0
  566  0.088900-830.312109    0    0
  567  0.088900-830.163281    0    0
  568  0.088900-830.014453    0    0
  569  0.088900-829.865625    0    0
  570  0.088900-829.716797    0    0
  571  0.088900-829.567969    0    0
  572  0.088900-829.419141    0    0
  573  0.088900-829.270313    0    0
  574  0.088900-829.121484    0    0
  575  0.088900-828.972656    0    0
  576  0.088900-828.823828    0    0
  577  0.088900-828.675000    0    0
  578  0.088900-828.526172    0    0
  579  0.088900-828.377344    0    0
  580  0.088900-828.228516    0    0
  581  0.088900-828.079688    0    0
  582  0.088900-827.930859    0    0
  583  0.088900-827.782031    0    0
  584  0.088900-827.633203    0    0
  585  0.088900-827.484375    0    0
  586  0.088900-827.335547    0    0
  587  0.088900-827.186719    0    0
  588  0.088900-827.037891    0    0
  589  0.088900-826.889063    0    0
  590  0.088900-826.740234    0    0
  591  0.088900-826.591406    0    0
  592  0.088900-826.442578    0    0
  593  0.088900-826.293750    0    0
  594  0.088900-826.144922    0    0
  595  0.088900-825.996094    0    0
  596  0.088900-825.847266    0    0
  597  0.088900-825.698438    0    0
  598  0.088900-825.549609    0    0
  599  0.088900-825.400781    0    0
  600  0.088900-825.251953    0    0
  601  0.088900-825.103125    0    0
  602  0.088900-824.954297    0    0
  603  0.088900-824.805469    0    0
  604  0.088900-824.656641    0    0
  605  0.088900-824.507813    0    0
  606  0.088900-824.358984    0    0
  607  0.088900-824.210156    0    0
  608  0.088900-824.061328    0    0
  609  0.088900-823.912500    0    0
  610  0.088900-823.763672    0    0
  611  0.088900-823.614844    0    0
  612  0.088900-823.466016    0    0
  613  0.088900-823.317188    0    0
  614  0.088900-823.168359    0    0
  615  0.088900-823.019531    0    0
  616  0.088900-822.870703    0    0
  617  0.088900-822.721875    0    0
  618  0.088900-822.573047    0    0
  619  0.088900-822.424219    0    0
  620  0.088900-822.275391    0    0
  621  0.088900-822.126563    0    0
  622  0.088900-821.977734    0    0
  623  0.088900-821.828906    0    0
  624  0.088900-821.680078    0    0
  625  0.088900-821.531250    0    0
  626  0.088900-821.382422    0    0
  627  0.088900-821.233594    0    0
  628  0.088900-821.084766    0    0
  629  0.088900-820.935938    0    0
  630  0.088900-820.787109    0    0
  631  0.088900-820.638281    0    0
  632  0.088900-820.489453    0    0
  633  0.088900-820.340625    0    0
  634  0.088900-820.191797    0    0
  635  0.088900-820.042969    0    0
  636  0.088900-819.894141    0    0
  637  0.088900-819.745313    0    0
  638  0.088900-819.596484    0    0
  639  0.088900-819.447656    0    0
  640  0.088900-819.298828    0    0
  641  0.088900-819.150000    0    0
  642  0.088900-819.001172    0    0
  643  0.088900-818.852344    0    0
  644  0.088900-818.703516    0    0
  645  0.088900-818.554688    0    0
  646  0.088900-818.405859    0    0
  647  0.088900-818.257031    0    0
  648  0.088900-818.108203    0    0
  649  0.088900-817.959375    0    0
  650  0.088900-817.810547    0    0
  651  0.088900-817.661719    0    0
  652  0.088900-817.512891    0    0
  653  0.088900-817.364063    0    0
  654  0.088900-817.215234    0    0
  655  0.088900-817.066406    0    0
  656  0.088900-816.917578    0    0
  657  0.088900-816.768750    0    0
  658  0.088900-816.619922    0    0
  659  0.088900-816.471094    0    0
  660  0.088900-816.322266    0    0
  661  0.088900-816.173438    0    0
  662  0.088900-816.024609    0    0
  663  0.088900-815.875781    0    0
  664  0.088900-815.726953    0    0
  665  0.088900-815.578125    0    0
  666  0.088900-815.429297    0    0
  667  0.088900-815.280469    0    0
  668  0.088900-815.131641    0    0
  669  0.088900-814.982813    0    0
  670  0.088900-814.833984    0    0
  671  0.088900-814.685156    0    0
  672  0.088900-814.536328    0    0
  673  0.088900-814.387500    0    0
  674  0.088900-814.238672    0    0
  675  0.088900-814.089844    0    0
  676  0.088900-813.941016    0    0
  677  0.088900-813.792188    0    0
  678  0.088900-813.643359    0    0
  679  0.088900-813.494531    0    0
  680  0.088900-813.345703    0    0
  681  0.088900-813.196875    0    0
  682  0.088900-813.048047    0    0
  683  0.088900-812.899219    0    0
  684  0.088900-812.750391    0    0
  685  0.088900-812.601563    0    0
  686  0.088900-812.452734    0    0
  687  0.088900-812.303906    0    0
  688  0.088900-812.155078    0    0
  689  0.088900-812.006250    0    0
  690  0.088900-811.857422    0    0
  691  0.088900-811.708594    0    0
  692  0.088900-811.559766    0    0
  693  0.088900-811.410938    0    0
  694  0.088900-811.262109    0    0
  695  0.088900-811.113281    0    0
  696  0.088900-810.964453    0    0
  697  0.088900-810.815625    0    0
  698  0.088900-810.666797    0    0
  699  0.088900-810.517969    0    0
  700  0.088900-810.369141    0    0
  701  0.088900-810.220312    0    0
  702  0.088900-810.071484    0    0
  703  0.088900-809.922656    0    0
  704  0.088900-809.773828    0    0
  705  0.088900-809.625000    0    0
  706  0.088900-809.476172    0    0
  707  0.088900-809.327344    0    0
  708  0.088900-809.178516    0    0
  709  0.088900-809.029688    0    0
  710  0.088900-808.880859    0    0
  711  0.088900-808.732031    0    0
  712  0.088900-808.583203    0    0
  713  0.088900-808.434375    0    0
  714  0.088900-808.285547    0    0
  715  0.088900-808.136719    0    0
  716  0.088900-807.987891    0    0
  717  0.088900-807.839062    0    0
  718  0.088900-807.690234    0    0
  719  0.088900-807.541406    0    0
  720  0.088900-807.392578    0    0
  721  0.088900-807.243750    0    0
  722  0.088900-807.094922    0    0
  723  0.088900-806.946094    0    0
  724  0.088900-806.797266    0    0
  725  0.088900-806.648438    0    0
  726  0.088900-806.499609    0    0
  727  0.088900-806.350781    0    0
  728  0.088900-806.201953    0    0
  729  0.088900-806.053125    0    0
  730  0.088900-805.904297    0    0
  731  0.088900-805.755469    0    0
  732  0.088900-805.606641    0    0
  733  0.088900-805.457812    0    0
  734  0.088900-805.308984    0    0
  735  0.088900-805.160156    0    0
  736  0.088900-805.011328    0    0
  737  0.088900-804.862500    0    0
  738  0.088900-804.713672    0    0
  739  0.088900-804.564844    0    0
  740  0.088900-804.416016    0    0
  741  0.088900-804.267187    0    0
  742  0.088900-804.118359    0    0
  743  0.088900-803.969531    0    0
  744  0.088900-803.820703    0    0
  745  0.088900-803.671875    0    0
  746  0.088900-803.523047    0    0
  747  0.088900-803.374219    0    0
  748  0.088900-803.225391    0    0
  749  0.088900-803.076563    0    0
  750  0.088900-802.927734    0    0
  751  0.088900-802.778906    0    0
  752  0.088900-802.630078    0    0
  753  0.088900-802.481250    0    0
  754  0.088900-802.332422    0    0
  755  0.088900-802.183594    0    0
  756  0.088900-802.034766    0    0
  757  0.088900-801.885938    0    0
  758  0.088900-801.737109    0    0
  759  0.088900-801.588281    0    0
  760  0.088900-801.439453    0    0
  761  0.088900-801.290625    0    0
  762  0.088900-801.141797    0    0
  763  0.088900-800.992969    0    0
  764  0.088900-800.844141    0    0
  765  0.088900-800.695313    0    0
  766  0.088900-800.546484    0    0
  767  0.088900-800.397656    0    0
  768  0.088900-800.248828    0    0
  769  0.088900-800.100000    0    0
  770  0.088900-799.951172    0    0
  771  0.088900-799.802344    0    0
  772  0.088900-799.653516    0    0
  773  0.088900-799.504688    0    0
  774  0.088900-799.355859    0    0
  775  0.088900-799.207031    0    0
  776  0.088900-799.058203    0    0
  777  0.088900-798.909375    0    0
  778  0.088900-798.760547    0    0
  779  0.088900-798.611719    0    0
  780  0.088900-798.462891    0    0
  781  0.088900-798.314062    0    0
  782  0.088900-798.165234    0    0
  783  0.088900-798.016406    0    0
  784  0.088900-797.867578    0    0
  785  0.088900-797.718750    0    0
  786  0.088900-797.569922    0    0
  787  0.088900-797.421094    0    0
  788  0.088900-797.272266    0    0
  789  0.088900-797.123438    0    0
  790  0.088900-796.974609    0    0
  791  0.088900-796.825781    0    0
  792  0.088900-796.676953    0    0
  793  0.088900-796.528125    0    0
  794  0.088900-796.379297    0    0
  795  0.088900-796.230469    0    0
  796  0.088900-796.081641    0    0
  797  0.088900-795.932813    0    0
  798  0.088900-795.783984    0    0
  799  0.088900-795.635156    0    0
  800  0.088900-795.486328    0    0
  801  0.088900-795.337500    0    0
  802  0.088900-795.188672    0    0
  803  0.088900-795.039844    0    0
  804  0.088900-794.891016    0    0
  805  0.088900-794.742188    0    0
  806  0.088900-794.593359    0    0
  807  0.088900-794.444531    0    0
  808  0.088900-794.295703    0    0
  809  0.088900-794.146875    0    0
  810  0.088900-793.998047    0    0
  811  0.088900-793.849219    0    0
  812  0.088900-793.700391    0    0
  813  0.088900-793.551563    0    0
  814  0.088900-793.402734    0    0
  815  0.088900-793.253906    0    0
  816  0.088900-793.105078    0    0
  817  0.088900-792.956250    0    0
